
MODEL: _unknown

MODEL: account.account
distribution_analytic_account_ids | type=many2many | required=False | readonly=True | store=False | compute=_compute_distribution_analytic_account_ids | related=None | relation=account.analytic.account
activity_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.activity
activity_state | type=selection | required=False | readonly=True | store=False | compute=_compute_activity_state | related=None | relation=None
activity_user_id | type=many2one | required=False | readonly=True | store=False | compute=_compute_activity_user_id | related=None | relation=res.users
activity_type_id | type=many2one | required=False | readonly=False | store=False | compute=<bound method Field._compute_related of 'account.asset.activity_type_id'> | related=activity_ids.activity_type_id | relation=mail.activity.type
activity_type_icon | type=char | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.asset.activity_type_icon'> | related=activity_ids.icon | relation=None
activity_date_deadline | type=date | required=False | readonly=True | store=False | compute=_compute_activity_date_deadline | related=None | relation=None
my_activity_date_deadline | type=date | required=False | readonly=True | store=False | compute=_compute_my_activity_date_deadline | related=None | relation=None
activity_summary | type=char | required=False | readonly=False | store=False | compute=<bound method Field._compute_related of 'account.asset.activity_summary'> | related=activity_ids.summary | relation=None
activity_exception_decoration | type=selection | required=False | readonly=True | store=False | compute=_compute_activity_exception_type | related=None | relation=None
activity_exception_icon | type=char | required=False | readonly=True | store=False | compute=_compute_activity_exception_type | related=None | relation=None
activity_calendar_event_id | type=many2one | required=False | readonly=True | store=False | compute=_compute_activity_calendar_event_id | related=None | relation=calendar.event
message_is_follower | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_is_follower | related=None | relation=None
message_follower_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.followers
message_partner_ids | type=many2many | required=False | readonly=False | store=False | compute=_compute_message_partner_ids | related=None | relation=res.partner
message_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.message
has_message | type=boolean | required=False | readonly=True | store=False | compute=_compute_has_message | related=None | relation=None
message_needaction | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_needaction | related=None | relation=None
message_needaction_counter | type=integer | required=False | readonly=True | store=False | compute=_compute_message_needaction | related=None | relation=None
message_has_error | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_has_error | related=None | relation=None
message_has_error_counter | type=integer | required=False | readonly=True | store=False | compute=_compute_message_has_error | related=None | relation=None
message_attachment_count | type=integer | required=False | readonly=True | store=False | compute=_compute_message_attachment_count | related=None | relation=None
rating_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=rating.rating
website_message_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.message
message_has_sms_error | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_has_sms_error | related=None | relation=None
depreciation_entries_count | type=integer | required=False | readonly=True | store=False | compute=_compute_counts | related=None | relation=None
gross_increase_count | type=integer | required=False | readonly=True | store=False | compute=_compute_counts | related=None | relation=None
total_depreciation_entries_count | type=integer | required=False | readonly=True | store=False | compute=_compute_counts | related=None | relation=None
name | type=char | required=True | readonly=False | store=True | compute=_compute_name | related=None | relation=None
company_id | type=many2one | required=True | readonly=False | store=True | compute=None | related=None | relation=res.company
country_code | type=char | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.asset.country_code'> | related=company_id.account_fiscal_country_id.code | relation=None
currency_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.asset.currency_id'> | related=company_id.currency_id | relation=res.currency
state | type=selection | required=False | readonly=True | store=True | compute=None | related=None | relation=None
active | type=boolean | required=False | readonly=False | store=True | compute=None | related=None | relation=None
method | type=selection | required=False | readonly=False | store=True | compute=None | related=None | relation=None
method_number | type=integer | required=False | readonly=False | store=True | compute=None | related=None | relation=None
method_period | type=selection | required=False | readonly=False | store=True | compute=None | related=None | relation=None
method_progress_factor | type=float | required=False | readonly=False | store=True | compute=None | related=None | relation=None
prorata_computation_type | type=selection | required=True | readonly=False | store=True | compute=None | related=None | relation=None
prorata_date | type=date | required=True | readonly=False | store=True | compute=_compute_prorata_date | related=None | relation=None
paused_prorata_date | type=date | required=False | readonly=True | store=False | compute=_compute_paused_prorata_date | related=None | relation=None
account_asset_id | type=many2one | required=False | readonly=False | store=True | compute=_compute_account_asset_id | related=None | relation=account.account
asset_group_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.asset.group
account_depreciation_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.account
account_depreciation_expense_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.account
